Problem,Time,Cost,Num_expanded,Num_generated
48,0.264655,260.77,7735,6996
46,0.00147188,39.414,41,125
44,0.0663291,112.49,1949,1977
43,0.229391,230.54,6711,6431
41,0.0320884,102.21,934,995
37,0.0323374,71.732,938,967
36,0.228795,219.426,6725,6118
35,0.573025,303.502,16788,12654
29,0.0527617,155.484,1539,1578
21,0.07538,136.694,2195,2190
19,0.420436,257.636,12435,7883
16,0.0935703,99.248,2675,2538
33,0.0924151,161.05,2687,2694
10,0.00303554,19.242,87,119
32,0.100656,143.356,2961,2892
9,0.00466058,26.21,138,96
31,0.360081,212.528,10649,7009
8,0.221726,232.636,6496,5440
15,0.19395,147.286,5761,4524
27,0.239757,227.19,7002,6750
4,0.145833,179.668,4258,4035
14,0.254495,194.044,7415,6878
26,0.0353771,91.312,1034,1143
3,0.0313555,80.726,921,993
30,0.332816,279.738,9804,9158
7,0.084049,141.146,2458,2352
49,0.000835167,9.242,23,48
2,0.299632,203.394,8732,8318
34,0.000215,7.07,5,29
11,0.00591696,157.414,159,479
0,0.280572,207.98,8155,5594
