5	16
21	29
27	1
20	14
29	25
25	8
23	30
20	23
15	9
11	7
12	18
30	30
22	22
3	27
27	26
0	9
6	14
24	20
6	15
17	19
18	7
4	15
9	10
0	27
27	27
31	27
13	0
13	20
21	20
3	18
26	28
16	13
4	27
8	11
31	1
31	22
15	13
7	26
25	24
8	21
21	3
10	30
0	7
30	12
28	4
25	4
18	24
26	22
23	7
24	30
24	27
1	8
28	0
20	2
16	14
2	1
5	25
25	5
26	25
0	8
11	19
13	25
17	23
17	21
31	19
2	2
6	4
5	24
8	30
4	0
24	19
2	15
17	2
1	19
16	23
20	10
12	15
31	9
3	11
12	31
15	3
3	13
11	2
18	0
14	27
5	22
13	24
7	7
15	24
21	13
2	30
19	24
27	20
7	13
29	21
6	21
7	20
10	20
1	28
7	19
31	8
25	30
31	30
8	1
22	17
10	31
20	7
16	0
20	19
18	27
1	6
4	30
17	10
17	16
11	27
3	3
5	17
22	6
23	27
29	26
11	6
17	12
13	28
29	19
22	15
14	13
15	0
12	13
28	18
25	15
16	29
21	10
12	27
28	29
5	4
24	21
24	13
26	16
5	9
29	8
0	26
14	1
27	24
15	30
25	3
15	10
0	16
28	8
8	24
27	18
4	5
0	25
30	25
10	9
23	13
0	2
19	21
17	7
8	0
3	4
29	2
27	11
19	15
4	21
26	31
16	9
24	29
23	18
26	30
31	20
29	15
7	27
25	22
14	11
14	6
11	15
30	0
7	14
21	5
11	11
22	25
22	13
12	29
7	31
9	26
8	8
10	11
20	29
6	11
22	2
22	31
28	1
3	25
22	26
31	11
14	15
8	20
30	7
14	29
2	19
15	22
29	24
28	15
8	2
19	26
19	13
25	6
21	19
19	14
18	26
4	7
12	16
15	25
4	3
1	5
11	18
4	25
3	29
29	13
11	13
26	3
1	10
13	16
30	27
6	31
28	28
29	30
8	9
0	24
19	8
11	24
30	9
23	12
4	16
6	12
2	17
5	15
1	12
9	8
13	18
10	28
18	18
13	1
14	26
2	26
8	25
24	9
3	1
16	24
31	0
9	12
4	8
12	0
23	11
10	24
25	18
8	7
8	3
16	6
19	30
24	26
5	19
4	17
19	7
24	28
2	29
12	2
15	23
13	31
29	29
20	4
25	17
15	7
2	8
21	2
26	29
30	23
26	26
29	1
25	29
20	12
0	22
19	2
25	23
5	11
27	16
24	24
25	14
9	13
29	23
10	4
24	18
20	28
0	4
31	2
11	3
13	3
3	9
12	25
2	0
12	24
28	6
19	5
10	7
12	5
29	27
9	7
9	16
3	26
25	12
27	29
31	31
24	1
13	2
12	3
14	19
17	8
20	30
11	4
8	10
7	9
6	18
14	22
18	15
1	29
20	9
9	11
23	25
18	22
12	23
30	10
27	14
17	5
1	0
22	30
16	7
31	16
13	10
10	16
28	11
2	11
24	14
1	25
0	19
4	20
0	17
19	16
4	6
19	4
16	27
5	13
13	29
18	4
16	2
11	23
20	27
29	22
21	31
3	31
15	27
20	3
26	17
13	21
15	2
4	12
29	5
30	26
17	13
11	25
1	23
24	10
9	22
12	17
28	10
20	6
18	14
13	27
22	16
17	14
18	10
27	28
30	21
26	14
21	27
21	22
21	23
27	0
11	10
2	18
5	23
22	28
29	6
14	20
27	7
13	30
22	14
9	19
13	5
22	9
21	30
2	14
8	18
30	20
11	16
0	6
14	31
2	23
6	13
14	3
